date,source_fixture_ids,display_sides,source_result,canonical_totals,scorecard_handling,club_win_loss,status,notes
2011-07-23,"179737; 214189","2nd XI v 3rd XI","3-wicket result","","Fuse reciprocal scorecards","Exclude","Confirmed","Intra-club grudge match"
2012-04-14,"262610; 262611","3rd XI v 4th XI","8-wicket result","","Fuse reciprocal scorecards","Exclude","Confirmed","Intra-club fixture"
2020-08-01,"750495; 752126","Mitres internal match","12-run result","105; 93","Fuse reciprocal scorecards","Exclude","Confirmed",""
2020-08-01,"752127; 752128","Mitres internal match","24-run result","147; 123","Fuse reciprocal scorecards","Exclude","Confirmed",""
2020-08-01,"752129; 752130","Mitres internal match","34-run result","","Fuse reciprocal scorecards","Exclude","Confirmed",""
2020-08-08,"753019; 753021","Mitres internal match","Two-wicket result","","Fuse reciprocal scorecards","Exclude","Confirmed",""
2020-08-08,"753407; 753480","Mitres internal match","45-run result","163; 117","Fuse reciprocal scorecards","Exclude","Confirmed","Higher total used where source cards differ"
2020-08-08,"753409; 753410","Mitres internal match","24-run result","141; 117","Fuse reciprocal scorecards","Exclude","Confirmed",""
2021-04-10,"779649; 780720","Mitres v Mitres","Internal result","163; 162","Fuse reciprocal scorecards","Exclude","Confirmed",""
2021-04-18,"781386; 782086","Mitres v Mitres","Six-wicket result","169; 160","Fuse reciprocal scorecards","Exclude","Confirmed",""
2021-04-25,"781394; 783630","Mitres v Mitres","Nine-wicket result","228; 181","Fuse reciprocal scorecards","Exclude","Confirmed",""
2022-04-17,"817885","Mitres internal friendly","14-run result","","Retain single scorecard; mark internal","Exclude","Confirmed",""
2022-09-03,"830735; 831124","Team Aaron v Team Jas","51-run result","200; 149","Fuse reciprocal scorecards","Exclude","Confirmed",""
2023-04-15,"855610; 855611","Mitres Team A v Mitres Team B","Tied","","Fuse reciprocal scorecards","Exclude","Confirmed",""
2023-07-09,"861615","5th XI v Mitres","Internal fixture","","Retain single scorecard; mark internal","Exclude","Confirmed",""
2023-08-20,"863352; 863353","Mitres internal match","One-run result","89; 79","Fuse reciprocal scorecards","Exclude","Confirmed","Higher total used where source cards differ"
2024-04-25,"888229","Mitres v Mitres","Internal fixture","","Retain single scorecard; mark internal","Exclude","Confirmed",""
2024-08-31,"893661","Mitres Team A internal match","One-wicket result","","Retain single scorecard; mark internal","Exclude","Confirmed",""
2024-09-01,"893643","Mitres internal friendly","Internal fixture","","Retain single scorecard; mark internal","Exclude","Confirmed",""
2025-04-05,"914524","Mitres Team A internal match","Internal fixture","","Retain single scorecard; mark internal","Exclude","Confirmed","Single long scorecard; ignore batting-order analysis"
2025-04-13,"912172","Practice match — 11am","Internal fixture","","Retain single scorecard; mark internal","Exclude","Confirmed","Single long scorecard; ignore batting-order analysis"
2025-04-13,"914941","Practice match — 2.30pm","Internal fixture","","Retain single scorecard; mark internal","Exclude","Confirmed","Single long scorecard; ignore batting-order analysis"
2025-09-06,"921570","Mitres internal match","Internal fixture","","Retain single scorecard; mark internal","Exclude","Confirmed",""
2026-04-12,"935422","Mitres internal friendly","Tied","","Retain single scorecard; mark internal","Exclude","Confirmed",""
2026-04-12,"941085; 941086","Martin's Marvellous Men v Prab's Passionate People","16-run result","176; 160","Fuse reciprocal scorecards","Exclude","Confirmed",""
2026-05-04,"943511; 943706","Ansh's Banshees v Kasun's Passions","Internal result","220; 219","Fuse reciprocal scorecards","Exclude","Confirmed","Source result text is non-standard"
2026-08-11,"946893; 946894","Peter's Pirates v Kasun's Passions","Tied","146; 146","Fuse reciprocal scorecards","Exclude","Confirmed","Kasun's Passions performance set supplied in PDF"
